239,1,BV1Hb4y1t7KE,26,3464389,425,看似智商税的扫把，真好用？,\/\/i0.hdslb.com\/bfs\/archive\/2950e6d3bbc8b3c587c13c37638ad52cb3f8c23a.jpg,2403,26204,-,http:\/\/www.bilibili.com\/video\/av634127457
239,2,BV12g411K76G,235,2328637,3483,爸妈常年在外打工，我把他们房间改造下，让他们过年回来时住得更好一点,\/\/i0.hdslb.com\/bfs\/archive\/0f98fb06d0f1f00860b816a1eb9f0e8d9c28f6e8.jpg,2154,11614,-,http:\/\/www.bilibili.com\/video\/av506616861
239,3,BV19q4y137rM,266,2177057,159,15年没洗过的地毯你知道有多脏吗？师傅越洗越惊讶，洗完后真干净,\/\/i0.hdslb.com\/bfs\/archive\/43a165c840be949a596e9f25d152f4ea8e8e6ffc.jpg,102,2704,,http:\/\/www.bilibili.com\/video\/av549183771
239,4,BV1kL411u7gX,128,2061917,226,今天因为自己的失误，又get到一项技能！！,\/\/i0.hdslb.com\/bfs\/archive\/1a2426a1b20d745c2e38d010ded01bff0c971bbb.jpg,320,4478,,http:\/\/www.bilibili.com\/video\/av464152904
239,5,BV1Sr4y1r7j3,147,1237662,543,稍微有点特别的房型...挖掘机户型你值得拥有,\/\/i0.hdslb.com\/bfs\/archive\/dbebebd3e768efb534da9ef41be3a038c81f82ea.jpg,895,8016,,http:\/\/www.bilibili.com\/video\/av764162640
239,6,BV1vu411o78C,44,1162903,235,【国货好枕头】睡觉别再让脖子悬空了！！安利一款能放松头颈肩的舒压枕，体验高质量睡眠！,\/\/i0.hdslb.com\/bfs\/archive\/a6db3d90af95852491e5db161953fb4e1bf0d411.jpg,826,1369,分区舒压，护颈助眠，仿佛睡在云朵上~,http:\/\/www.bilibili.com\/video\/av506396279
239,7,BV1uh411b7fN,208,1117165,216,我忍不住查了一下EDG夺冠送的那个房子，一查真的吓一跳！,\/\/i0.hdslb.com\/bfs\/archive\/3d3db5fe04e90fe3bb6a1e33759a6251436cc195.jpg,2117,2154,资料来源如下： https:\/\/gz.news.fang.com\/house\/2811177510_17573068.htm http:\/\/www.panyu.gov.cn\/attachment\/0\/48\/48488\/5608787.pdf https:\/\/www.sohu.com\/a\/480748615_120239527 http:\/\/www.cngrain.cn\/109486\/ https:\/\/jt.shenchuang.com\/huoche\/20190515\/1490521.shtml,http:\/\/www.bilibili.com\/video\/av209128616
239,8,BV1vS4y197Nh,65,1086685,125,有一种后悔叫买了一套公寓！,\/\/i0.hdslb.com\/bfs\/archive\/b188261b85fff18c37b53da49fa906c5b9ca7084.jpg,956,2382,-,http:\/\/www.bilibili.com\/video\/av721726035
239,9,BV1E341187iK,130,1015842,911,史上最diao的奇葩户型  不说了自己看吧,\/\/i0.hdslb.com\/bfs\/archive\/1de5bb4e1084321a83a9da84bc3c2c1d94c98d28.jpg,986,4303,,http:\/\/www.bilibili.com\/video\/av421633903
239,10,BV1Sg411P7oU,107,947660,313,100件居家神器 | 16.0 | 低至3分！懒人冬天最大的快乐不就是围在家里吃火锅还不用洗碗吗！,\/\/i0.hdslb.com\/bfs\/archive\/be975c41eca1d2b2398dd1a8b04764ef533ebfb3.jpg,541,42853,-,http:\/\/www.bilibili.com\/video\/av506727294
239,11,BV14T4y197Fu,46,903136,62,装修万不得已不要拆墙，如果拆了修复非常麻烦，一定要及时制止！,\/\/i0.hdslb.com\/bfs\/archive\/c26667f3695b4b21685cf6309b785eec2c9b9861.jpg,368,1423,-,http:\/\/www.bilibili.com\/video\/av934054010
239,12,BV1eq4y1k7LV,558,895892,3019,铁盒才是永远的家？日本程序员夫妇建造17㎡科幻住宅！,\/\/i0.hdslb.com\/bfs\/archive\/1ebe7225415bfb9ef425457257de3a5036cbf0f1.jpg,1390,2618,来了大伙，冲冲冲，一定要记得点关注哈，新来的朋友可以看主页，主页有超多 ，可以一边吃饭一边看，我的老粉丝们，老哥么们，老姐妹们，都是这么干的。,http:\/\/www.bilibili.com\/video\/av591639492
239,13,BV1tq4y1u7Sn,22,868456,232,花600租的豪华单间,\/\/i0.hdslb.com\/bfs\/archive\/8f35a1b01565c86a7ae3331a3d464614e99a7af3.jpg,1615,1763,-,http:\/\/www.bilibili.com\/video\/av549207571
239,14,BV1Zg411K79P,67,830275,74,用货架当床板我可太机智啦~这个大工程累得腰都直不起来了，成果很满意,\/\/i0.hdslb.com\/bfs\/archive\/7df4eda0c76a19486ce2b8eaf89a20818ef55f30.jpg,142,1986,互联网,http:\/\/www.bilibili.com\/video\/av506652903
239,15,BV1uL411g7AD,189,691602,1188,沉浸式回家｜已婚主妇一人独处时光,\/\/i0.hdslb.com\/bfs\/archive\/1b3695a3d0ac787bdb1faf9386aa7b636cacc803.jpg,1309,7484,-,http:\/\/www.bilibili.com\/video\/av464205176
239,16,BV1K44y1e7LQ,155,586217,681,日本东京，100万就能买到大雄的家？,\/\/i0.hdslb.com\/bfs\/archive\/1d7b32e0145c244d43d6562e967aea19ff44c054.jpg,1493,4296,像不像大雄的家？,http:\/\/www.bilibili.com\/video\/av976503875
239,17,BV1RQ4y1S7kv,152,544179,18,我花了五十块Q淘了两把椅子，跟我的阳台可太配了~,\/\/i0.hdslb.com\/bfs\/archive\/5ea45c9e45974c0c80a292f7dc8e2beefec864d1.jpg,18,565,互联网,http:\/\/www.bilibili.com\/video\/av719000891
239,18,BV1qf4y1T7jF,302,541708,2348,有了这些宝贝我十年不出门！,\/\/i0.hdslb.com\/bfs\/archive\/6993b7237c3353d44124be1a2b014593bfd331ca.jpg,768,2533,饼国王从此以后过上了幸福快乐的生活！,http:\/\/www.bilibili.com\/video\/av379147107
239,19,BV1zb4y1t7SN,1105,528231,3511,日本夫妻一不小心住进原始森林里，每天与猛兽做伴！还好遇到了庭院仙人！,\/\/i0.hdslb.com\/bfs\/archive\/c03c979dcd9daca48f858d6ba20e82b267ea4f36.jpg,757,4869,大伙喜欢请点关注哈，谢谢了。~,http:\/\/www.bilibili.com\/video\/av634223950
239,20,BV1FF411h7kz,321,504738,93,为售豆腐渣房，开发商赠100平地下室，夫妻花68万改成双花园豪宅,\/\/i0.hdslb.com\/bfs\/archive\/ace53fe6d1fb9e705f8cbf9a2969caca055fc8db.jpg,123,1142,,http:\/\/www.bilibili.com\/video\/av294141947
239,21,BV1TQ4y1U7zY,261,481009,813,妹妹一直想要个公主房，我自己动手给她改造,\/\/i0.hdslb.com\/bfs\/archive\/9f735e01820956c1360c5005974e008b2884b051.jpg,681,1649,-,http:\/\/www.bilibili.com\/video\/av719212107
239,22,BV1Xg411P7iV,551,458833,2532,【艾住哪儿】钓鱼台315 ㎡主席套房，钱塘江旁的楼顶园林到底长什么样？,\/\/i0.hdslb.com\/bfs\/archive\/59f8379980bfc2de02693829773d7109a44ba302.jpg,875,3278,钱塘江畔的钓鱼台酒店，宛如藏在繁华中心的宁静港湾，新中式和国际范完美结合，值得体验一把。,http:\/\/www.bilibili.com\/video\/av506734268
