idx,submittime,costtime,source,detail,text_id,M1-1,M1-2,M1-3,M1-4,M1-5,M1-6,M2-1,M2-2,M2-3,M2-4,M2-5,M2-6,M3-1,M3-2,M3-3,M3-4,M3-5,M4-1,M4-2,M4-3,M4-4,total_score,text,label,emotion,M1,M2,M3,M4
170,2019/12/4 11:40:51,224秒,样本服务,,3,3,2,4,3,2,4,3,2,3,4,3,2,2,1,3,1,2,1,4,3,4,56,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,18,17,9,12
171,2019/12/4 11:41:01,118秒,样本服务,,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,3,3,2,1,2,2,39,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,11,10,11,7
172,2019/12/4 11:41:08,117秒,样本服务,,4,4,4,3,4,3,4,4,3,3,3,4,4,3,3,3,3,4,3,2,3,2,69,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,22,21,16,10
173,2019/12/4 11:42:22,137秒,样本服务,,3,3,2,3,2,4,2,3,4,3,1,2,3,2,3,2,2,3,4,2,3,3,56,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,16,16,12,12
174,2019/12/4 11:42:51,130秒,样本服务,,1,4,3,4,2,4,3,4,3,3,2,3,3,2,4,2,4,2,4,3,3,4,66,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,20,18,14,14
175,2019/12/4 11:43:30,118秒,样本服务,,5,4,3,3,2,3,3,4,2,3,3,4,4,2,4,3,3,2,3,2,2,3,62,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,18,20,14,10
176,2019/12/4 11:45:56,157秒,样本服务,,1,4,2,1,2,3,4,4,4,3,4,1,2,1,1,3,1,1,2,3,1,3,50,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,16,18,7,9
177,2019/12/4 11:51:28,542秒,样本服务,,2,3,3,2,3,2,2,3,3,3,4,4,3,2,3,3,2,2,3,3,2,2,57,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,15,20,12,10
178,2019/12/4 11:54:02,117秒,样本服务,,2,2,4,3,2,2,2,3,3,4,3,3,4,3,2,2,2,2,2,3,2,2,55,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,15,20,11,9
179,2019/12/4 11:54:07,118秒,样本服务,,5,2,3,4,2,2,3,4,3,4,3,4,4,2,2,3,2,2,1,1,2,1,54,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,16,22,11,5
181,2019/12/4 11:55:05,117秒,样本服务,,3,4,3,2,4,3,4,4,3,3,4,1,3,2,1,2,1,1,1,3,2,2,53,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,20,18,7,8
182,2019/12/4 11:55:09,117秒,样本服务,,5,1,3,3,1,2,2,2,2,3,4,4,3,3,2,3,2,2,2,2,3,2,51,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,12,18,12,9
183,2019/12/4 11:55:09,132秒,样本服务,,1,1,4,2,3,2,3,4,4,3,4,3,4,2,2,3,2,3,1,2,3,2,57,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,15,22,12,8
184,2019/12/4 11:55:21,269秒,样本服务,,4,3,4,3,3,1,4,4,4,4,4,3,3,4,2,2,1,1,3,3,1,3,60,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,18,22,10,10
185,2019/12/4 11:56:05,119秒,样本服务,,5,1,3,2,3,3,3,2,2,3,4,2,3,1,1,3,2,3,1,1,1,3,47,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,15,16,10,6
186,2019/12/4 11:56:19,117秒,样本服务,,3,3,3,3,4,3,3,2,4,3,2,3,3,4,3,3,2,3,2,3,4,3,63,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,19,17,15,12
187,2019/12/4 11:57:07,117秒,样本服务,,2,1,2,1,1,1,2,3,3,2,4,2,3,3,2,3,2,2,3,2,2,3,47,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,8,17,12,10
188,2019/12/4 11:57:17,184秒,样本服务,,4,1,1,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,26,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,7,10,5,4
189,2019/12/4 11:58:18,123秒,样本服务,,3,1,1,2,1,1,2,3,3,3,3,2,3,2,2,2,2,2,1,1,2,1,40,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,8,17,10,5
190,2019/12/4 11:58:21,123秒,样本服务,,1,1,4,3,2,3,3,3,4,4,4,2,3,3,2,3,2,2,1,1,1,2,53,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,16,20,12,5
