idx,submittime,costtime,source,detail,text_id,M1-1,M1-2,M1-3,M1-4,M1-5,M1-6,M2-1,M2-2,M2-3,M2-4,M2-5,M2-6,M3-1,M3-2,M3-3,M3-4,M3-5,M4-1,M4-2,M4-3,M4-4,total_score,text,label,emotion,M1,M2,M3,M4
1,2019/12/3 10:19:07,117秒,样本服务,,4,1,3,1,2,2,3,3,3,2,4,3,4,2,2,1,3,2,3,4,2,1,51,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,12,19,10,10
2,2019/12/3 10:26:28,141秒,样本服务,,3,2,3,2,2,1,3,4,4,3,3,2,3,2,3,3,1,2,3,3,2,2,53,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,13,19,11,10
3,2019/12/3 10:27:24,117秒,样本服务,,5,4,3,2,3,4,4,3,4,2,3,2,3,4,2,3,2,1,2,2,1,1,55,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,20,17,12,6
4,2019/12/3 10:28:22,479秒,样本服务,,1,4,3,2,3,3,3,4,3,4,4,3,3,2,2,2,1,2,1,3,3,3,58,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,18,21,9,10
5,2019/12/3 10:28:33,122秒,样本服务,,3,1,4,1,1,1,3,3,2,2,4,3,3,3,3,3,1,1,1,2,2,1,45,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,11,17,11,6
6,2019/12/3 10:29:56,515秒,样本服务,,5,1,4,3,1,1,4,4,4,4,3,2,3,3,3,2,2,2,1,1,1,1,50,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,14,20,12,4
7,2019/12/3 10:29:59,202秒,样本服务,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,84,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,24,24,20,16
8,2019/12/3 10:34:37,607秒,样本服务,,2,3,4,3,3,3,4,4,3,4,2,3,3,4,4,3,4,3,4,4,4,3,72,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,20,19,18,15
9,2019/12/3 14:49:23,127秒,样本服务,,4,2,3,3,2,2,3,3,4,3,4,3,3,4,3,3,2,2,2,3,3,3,60,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,15,20,14,11
10,2019/12/3 14:50:40,136秒,样本服务,,1,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,59,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,18,17,13,11
11,2019/12/3 14:51:23,117秒,样本服务,,3,1,3,2,2,2,2,3,3,3,4,4,3,2,1,2,2,2,2,2,2,1,48,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,12,20,9,7
12,2019/12/3 14:52:02,155秒,样本服务,,1,3,3,2,2,1,3,3,3,2,4,3,3,2,2,2,1,1,2,2,2,1,47,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,14,18,8,7
13,2019/12/3 14:54:25,116秒,样本服务,,5,1,4,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,66,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,17,22,15,12
14,2019/12/3 15:02:30,583秒,样本服务,,2,1,3,1,1,2,4,4,3,4,3,3,4,4,2,2,1,2,4,3,1,2,54,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,12,21,11,10
15,2019/12/3 15:03:11,184秒,样本服务,,4,4,3,3,3,4,4,3,4,4,3,3,4,4,3,3,4,3,4,4,3,4,74,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,21,21,17,15
16,2019/12/3 15:05:46,177秒,样本服务,,4,1,2,2,2,1,2,4,3,2,4,3,3,1,2,3,1,1,2,1,2,2,44,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,10,19,8,7
17,2019/12/3 15:05:55,122秒,样本服务,,1,3,3,3,3,2,2,3,3,2,4,2,3,2,2,2,2,2,2,3,3,3,54,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,16,17,10,11
18,2019/12/3 15:06:47,230秒,样本服务,,2,3,4,1,2,3,1,3,4,2,4,1,3,1,2,3,2,1,3,2,3,2,50,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,14,17,9,10
19,2019/12/3 15:06:48,290秒,样本服务,,2,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,2,3,4,4,78,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,22,24,19,13
20,2019/12/3 15:07:10,138秒,样本服务,,3,1,2,1,1,1,2,2,2,2,4,2,1,2,2,1,1,1,2,2,2,1,35,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,8,13,7,7
21,2019/12/3 15:07:43,233秒,样本服务,,5,1,1,2,1,2,3,3,4,3,3,4,1,2,2,3,1,1,2,2,2,3,46,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,10,18,9,9
22,2019/12/3 15:07:52,117秒,样本服务,,5,3,4,2,1,2,3,3,3,4,3,4,3,1,4,3,1,2,2,2,1,1,52,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,15,20,11,6
23,2019/12/3 15:08:02,128秒,样本服务,,1,1,4,2,3,3,4,4,4,4,4,4,4,3,2,2,1,1,1,1,2,1,55,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,17,24,9,5
24,2019/12/3 15:08:46,286秒,样本服务,,4,2,3,2,2,1,3,3,3,2,2,3,3,3,2,2,1,1,3,3,3,2,49,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,13,16,9,11
25,2019/12/3 15:09:02,122秒,样本服务,,2,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,24,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,7,8,5,4
26,2019/12/3 15:09:05,128秒,样本服务,,2,1,1,2,2,2,1,1,2,2,4,1,1,3,3,2,1,1,2,2,2,1,37,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,9,11,10,7
27,2019/12/3 15:09:52,117秒,样本服务,,5,1,4,1,1,1,3,4,4,4,3,3,4,1,1,2,1,1,1,1,1,1,43,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,11,22,6,4
28,2019/12/3 15:09:54,117秒,样本服务,,5,1,3,2,1,1,3,3,3,3,4,2,1,1,2,2,1,1,2,2,1,2,41,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,11,16,7,7
29,2019/12/3 15:10:19,117秒,样本服务,,3,1,4,3,4,3,4,3,4,3,3,4,3,4,3,4,2,3,2,3,4,1,65,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,19,20,16,10
30,2019/12/3 15:10:26,145秒,样本服务,,4,2,2,2,1,1,2,3,3,3,4,3,4,4,3,4,1,2,1,2,1,1,49,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,10,20,14,5
31,2019/12/3 15:11:15,134秒,样本服务,,1,2,2,1,1,2,2,1,1,2,4,1,1,1,2,2,1,2,2,1,1,2,34,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,10,10,8,6
32,2019/12/3 15:11:27,142秒,样本服务,,3,1,3,3,4,3,4,3,4,4,3,4,3,2,1,2,1,2,1,3,2,4,57,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,18,21,8,10
33,2019/12/3 15:12:10,126秒,样本服务,,2,3,3,2,4,3,2,4,3,2,3,4,2,3,4,3,2,3,3,4,2,3,62,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,17,18,15,12
34,2019/12/3 15:12:10,120秒,样本服务,,5,3,4,2,3,3,4,3,4,4,4,3,3,4,2,3,3,4,1,2,2,1,62,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,19,21,16,6
35,2019/12/3 15:12:21,135秒,样本服务,,4,3,4,3,4,3,4,4,4,3,4,4,4,3,3,4,3,4,3,3,2,3,72,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,21,23,17,11
36,2019/12/3 15:13:00,117秒,样本服务,,1,1,2,2,1,2,3,2,3,3,4,3,3,3,3,4,2,2,3,3,4,3,56,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,11,18,14,13
37,2019/12/3 15:13:38,204秒,样本服务,,1,2,2,1,2,2,1,3,3,3,4,4,4,2,1,2,1,1,3,3,1,3,48,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,10,21,7,10
38,2019/12/3 15:57:48,3239秒,样本服务,,3,3,2,1,2,1,2,1,3,2,3,2,1,1,2,2,1,1,2,1,1,1,35,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,11,12,7,5
39,2019/12/3 17:52:06,117秒,样本服务,,3,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,3,4,4,4,4,77,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,22,21,18,16
40,2019/12/3 17:53:09,117秒,样本服务,,2,3,4,3,4,3,4,3,4,3,3,3,4,4,3,4,3,4,3,4,3,4,73,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,21,20,18,14
41,2019/12/3 17:54:19,124秒,样本服务,,5,2,3,2,2,2,3,4,4,3,3,4,3,4,3,4,1,2,1,1,2,1,54,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,14,21,14,5
42,2019/12/3 17:55:20,117秒,样本服务,,3,3,2,3,4,3,1,3,3,2,3,4,2,3,3,2,3,4,3,2,3,4,60,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,16,17,15,12
43,2019/12/3 17:55:21,123秒,样本服务,,4,3,4,1,2,2,4,4,4,4,3,3,4,1,1,1,1,2,1,2,1,1,49,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,16,22,6,5
44,2019/12/3 17:55:22,119秒,样本服务,,4,2,2,2,1,1,1,2,1,1,4,2,1,1,1,2,1,1,1,1,1,1,30,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,9,11,6,4
45,2019/12/3 17:55:37,136秒,样本服务,,5,1,4,3,2,3,4,3,4,4,2,3,3,4,1,2,1,1,2,3,2,1,53,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,17,19,9,8
46,2019/12/3 17:55:43,145秒,样本服务,,1,3,4,2,3,2,3,2,3,2,4,3,1,3,2,1,2,1,2,3,4,2,52,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,17,15,9,11
47,2019/12/3 17:56:17,117秒,样本服务,,2,2,3,4,2,3,4,4,3,2,4,3,1,1,2,3,3,2,1,2,3,2,54,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,18,17,11,8
48,2019/12/3 17:57:31,131秒,样本服务,,3,3,2,3,2,1,3,1,4,3,2,3,1,2,4,1,2,1,3,4,3,1,49,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,14,14,10,11
49,2019/12/3 17:57:37,133秒,样本服务,,4,2,3,3,1,2,2,1,2,2,2,3,3,2,1,2,1,1,2,1,2,2,40,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,13,13,7,7
50,2019/12/3 17:57:41,194秒,样本服务,,2,3,4,3,4,2,3,4,3,4,3,3,3,4,3,3,2,3,2,3,2,3,64,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,19,20,15,10
51,2019/12/3 17:58:03,400秒,样本服务,,1,1,2,1,2,1,2,2,1,1,4,2,2,1,2,1,2,1,1,2,1,2,34,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,9,12,7,6
52,2019/12/3 17:59:27,181秒,样本服务,,1,2,4,1,2,1,3,4,3,2,4,3,2,1,3,4,1,2,1,3,1,2,49,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,13,18,11,7
53,2019/12/3 18:02:31,117秒,样本服务,,1,3,3,2,3,2,2,3,4,2,3,4,3,4,2,3,2,1,2,3,2,3,56,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,15,19,12,10
54,2019/12/3 18:04:08,836秒,样本服务,,4,4,3,3,4,4,3,4,3,4,4,3,3,4,3,3,2,2,3,4,3,3,69,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,21,21,14,13
55,2019/12/3 18:05:24,166秒,样本服务,,2,3,3,2,2,2,3,4,4,3,3,2,3,2,2,2,1,2,3,4,3,3,56,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,15,19,9,13
56,2019/12/3 18:06:40,117秒,样本服务,,5,2,3,2,2,2,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,49,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,14,17,10,8
57,2019/12/3 18:07:43,117秒,样本服务,,3,1,4,1,1,1,4,2,3,2,3,3,2,3,2,4,1,1,2,1,1,1,43,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,12,15,11,5
58,2019/12/3 18:08:12,137秒,样本服务,,5,1,3,1,2,1,3,3,4,3,4,3,2,1,2,1,1,2,1,1,2,1,42,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,11,19,7,5
59,2019/12/3 18:08:41,116秒,样本服务,,4,2,3,3,3,4,3,4,3,3,4,3,3,4,3,3,2,2,3,4,3,2,64,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,18,20,14,12
60,2019/12/3 18:08:42,118秒,样本服务,,5,1,3,3,2,1,2,3,4,3,4,4,3,3,4,3,2,2,3,4,3,3,60,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,12,21,14,13
