歌曲ID,歌单标题,创建者昵称,创建者id,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
6742174395,小姜的浪漫主义,小葛爱刀削面子,1941569398,介绍：	＂该知道的都知道，不知道的慢慢了解”	,44,1035710,12608,100,52
6970792582,[Popping 练习曲] 机械律动 节奏强袭,云音乐官方歌单,1463586082,介绍：	你的专属Popping练舞管家，每日不同练习曲等你来选	,30,840057,5988,44,80
5070074208,到点了，该emo了,WATCHINGINGLOVE,303366015,介绍：	到点了，该emo了 。自己喜欢的 喜欢就听 不喜欢就算了	,247,2692925,13439,405,122
7067950752,WLAN Forever,Vison橙,565289212,介绍：	把我们爱意像WLAN信号一样传播	这里是WLAN说唱团体	,78,170,13,5,评论
6944219625,丧rap | 是我不配做你的主角,见青山t,1358261208,介绍：	不得不承认，别人已经有了新的生活	——赶紧放空自己吧。不要再想念别人了，真的不要再犯贱了	,62,3006729,9399,22,32
5230609294,Melodic rap——带着旋律的flow,Ricadoba,1804401737,介绍：	周更3-5首！！！喜欢Traviss，thuggy，Saint JHN，Trevor，Polo G，Tyla，Lil Baby、Keed，JAKE HOPE和Roddy Rich的进来准没错！！精选Trap，R&B，Melody rap，hard core rap		欧美Rap各大王牌rapper的精选...	,329,449394,5768,1122,981
6654071246,Beattle beat丨上等好货丨freestyle 伴奏,一个EDA,374150187,介绍：	Battle beat	都是自选好货	用的时候记得收藏	下次方便找到我这个宝藏歌单	,34,15467,2408,1,评论
6668276316,营养怪兽粉丝说会让他们燥起来的歌,营养怪兽,115025640,介绍：	高赞收录	,23,8318,152,1,1
6986121562,说唱联盟 |就是要听rap,在你的心里走了,2103598038,介绍：	喜欢与相处不同，明明两人，相互爱慕，可相处下来发现你们不合适，但却不想留遗憾，终是无可奈何	,86,189292,1836,1,4
6649889232,心绞痛说唱 :(,CreepyCreepyCreepy,396664333,介绍：	[持续更新]		有一天打王者 	下路一直死一直死	我开始暴躁	防下路防下路防下啊 防下啊		你听见了吗?		“放下啊!”	,112,235324,4291,1158,12
6607483038,情歌说唱|不定时更新,dazzd,381977701,介绍：	上榜请私信	,17,62280,632,957,1
4897659061,Free beat 更新中…,CAND1E_Beatz,135952122,介绍：	beat歌单	producer可免费投稿	投稿需要关注我以及收藏本歌单	请遵守规则，不守规则以及收录了取关者将永久不再收录	,392,2213216,7123,1708,14
6753134025,【新疆大网红】Rangsiz{船长}的最火歌曲,Ruzaliy-,1497910647,介绍：	新疆大网红Rangsiz最火歌曲	,33,89954,1125,6,评论
2924538729,宝藏男孩的说唱歌单,Qdga-,1345521783,介绍：	要乐观要热情要坚强 谁都懂对的哲理	要成功要赚钱要成名 只不过得跪着而已	,294,77753,891,12,8
6784203311,动听的中文嘻哈（说唱）,Dz__Y,100849676,介绍：	。。。。中文得意境就是触碰你得灵魂。博大精深沉淀底蕴。	,134,40545,3534,2,评论
5383043369,复古混响 | Lo-Fi Hip Hop,云音乐说唱专区,3856379473,介绍：	Lo-Fi严格来说并不能算做一种音乐风格，而是制作者在制作音乐时刻意追求低音质带来的复古感以及一些粗糙细微的噪音杂糅，像是我们以前听到的黑白电视中的沙沙声、磁带中的滋滋声甚至是黑胶唱片中的炒豆声；...	,88,216080,3090,40,19
5215142408,【说唱】 温柔 | 旋律 | 治愈,SG丶无名小姐,1653795852,介绍：	来了就留下你的痕迹哦！	,46,1527553,22512,48,875
5274620886,高质量免费说唱伴奏/FreeBeat/RapBeat,DIVINE_MUSIC,3883298960,介绍：	欢迎大家使用，务必遵守使用规则。	,70,44543,826,124,1
6809513516,rapper说情话 || LIPS THE ANGEL,Gabriel_Skylar,1627101156,介绍：	还有星月可以寄望 还有宇宙浪漫不止	____________________________	给我的澈	,131,9108,107,6,8
6643517067,rap让我满足所有的幻想,QJUNNO,328838327,介绍：	永远保持善良温柔可爱，要一直开心哦	,222,2585,632,0,评论
5003037677,自嗨必备||200首优质HipHop歌曲精选,JealousBoy,516122350,介绍：	在家无聊吗？	来一首好的HipHop歌曲解乏吧！		遇到困难了吗？	来一首好的HipHop歌曲放松放松心情吧！		陷入歌荒了吗？	来一首好的HipHop歌曲加入你的心动列表吧！		从多于三千首的合集中精选出的二百首Hip...	,187,322487,4515,52,19
6628656641,〖中文雷击顿〗华语reggaeton「稀缺资源」,Little_Fage,313616041,介绍：	本歌单主要收集稀缺的（华语）雷击顿、Dancehall及一些拉丁元素的歌曲资源。雷击顿（reggaeton)起源于波多黎各，并非大家熟知的雷鬼（reggae）音乐，雷击顿音乐风格 如今早已衍生出与各种主流音乐相结合的...	,28,11095,625,18,3
7119022792,『中 國 说 唱 』给你你想要的,-甜饼怪BABE-,484356241,介绍：	中 文 说 唱 崛 起	,629,77875,3713,15,3
6901098558,诉说回忆与经历的说唱伴奏【RAP BEATS】,RONIN-MUSIC,5011035536,介绍：	走进回忆，往事怎能如烟。这个季节，云烟浮动，花草葳蕤，有多少感念在风中摇曳。	,52,215975,3450,3,2
6920382800,熬夜修炼手册！！！,t2vx81k4,5124196916,介绍：	过去的，别再遗憾；未来的，无须忧虑；现在的，加倍珍惜	,117,474472,3055,218,5
5042726661," New Wave Beat "「新浪潮说唱伴奏/持更」,Slim_Dyane,1944143863,介绍：	此歌单收录的均是我本人觉得特别牛批的各种风格的New Wave伴奏，希望带火萌也喜欢，欢迎收藏嗷 oA o	使用伴奏时请注意伴奏是否免费，租聘伴奏的使用请自行联系作者，如果是免费伴奏请遵守伴奏制作人的规则...	,1321,1344335,14852,1117,171
6750794486,*Free*beat丨new wave R&B trap（放心用 持,不知名的GWOOH,324529437,介绍：	LIL PEEP Type丨 R&B Type丨 Juice WRLD	#使用的时候必须遵守相关beat使用规则#	·欢迎投稿丨一些优质的beat我会收录，私信投稿就行免费收录。	每一首伴奏都是我听过的 我觉得好听 那就是好听！知道你会lik...	,51,2606,132,0,2
3035765774,Rap Star「高质量说唱精选」,力OG,2015707958,介绍：	接投稿 听说唱必备歌单，好听到爆持续更新!!!	,768,21274220,165908,4380,417
7002801423,Trap Beat（狠货/炸裂/迷幻/808）,Nightdevil-BEAT,331807247,介绍：	狠货/炸裂/迷幻/808鼓	,72,1724,176,5,6
7062679024,EMO|午夜悲伤情绪收容所,奇多爸,1624765852,介绍：	午夜悲伤情绪收容所	,76,130971,44,102,4
2894678520,情话 Rapper 收获你的少女心,Doki少女鹿安然,1854050928,介绍：	实验证明Hip-hop很容易收获少女心 Skr…	,144,1030044,10783,108,31
6983860849,Savage X Fenty Show | Vol.3,RihannaDaily,294116740,介绍：	Rihanna个人内衣品牌Savage X Fenty Show第三季音乐合辑	,22,2531,56,6,5
3119595459,国产hiphop百听不厌,Double_Mini,421421612,介绍：	( 接投稿 ) 带给你非常有质感的国产说唱单曲百听不厌的好音乐每天用心更新希望大家多多收藏评论多多支持	,461,21094700,126616,4368,466
6934920658,福州大学FMC原创音乐歌单,钥匙年KeyYear,413751646,介绍：	更多原创音乐在我们的个人主页～	,41,2044,105,14,1
7080301387,「超神押韵」不晃不行 持续更新 后面更精彩,RyanZ阿郑,253588685,介绍：	戴上耳机搭配这个歌单，感受来自国内外纯正黑怕的节奏冲击~如有补充或投稿请私信	,107,191426,3156,114,6
6876056687,【华语说唱】超酷的中国女rapper,zzconpro,3290028662,介绍：	此歌单收录最酷的嘻哈女歌手作品	,32,2896,136,0,1
6607426942,《宝藏说唱》容易上瘾,洋晚柔,3275616833,介绍：	宝藏Rap歌单（法老，王以太，马思唯，姆爷～）	,44,76144,909,7,4
2868203844,Emo Rap/心碎二次元亚逼嗨歌,浪漫的山东人,1896908304,介绍：	投稿私信	,145,445286,9360,415,188
7057702962,中文// 《说唱诗人》| S H O W F L O W,-甜饼怪BABE-,484356241,介绍：	打游戏必备好听中文说唱	,192,196655,7088,24,11
6901114864,舒 适 禁 止 出 售,别在冬季失约,430776171,介绍：	在我们身边，什么都会背叛，可是音乐不会。哪怕全世界所有的人都背过身去，音乐依然会和我窃窃私语。	,83,8272,542,3,评论
2356473597,“甜味 旋律 Rap情歌”,张以晨_,392078662,介绍：	在什么都善变的世间，我想和你看一看永远		歌单支持投稿	,404,2645597,35646,458,128
5281964966,♥︎声控福利♥︎温柔男友嗓音,岛屿下,1673257986,介绍：	情场失意了别难过，你还有我	,76,1411294,7243,3630,18
2276494197,Old School HipHop律动练习 珍藏版,Rootskool,558975871,介绍：	Old School街舞主要有3个舞种:	B-boying（Breaking）Popping (包含Wave在里面)和Locking！		Old School HipHop是在这些舞种的基础上发展而来的，大体上可看做是以HipHop的四大基础元素为基础加上Popping的...	,787,5646234,83747,2542,113
6999885783,不怕rapper是流氓，就怕rapper是情郎,美女没有酱,1325694583,介绍：	不怕rapper是流氓，就怕rapper是情郎	,51,8957,22,0,评论
5310099952,Chill抒情beat | 说唱伴奏,见青山t,1358261208,介绍：	怀揣希望去努力，静待美好的出现	,114,202358,4685,814,2
